,HYTCP,WYTCP,SOEGP,NUETP,
1960,881,0,0,0,
1961,897,0,0,0,
1962,931,0,0,0,
1963,758,0,0,0,7921
1964,690,0,0,0,8350
1965,928,0,0,0,9196
1966,867,0,0,0,10202
1967,806,0,0,0,10617
1968,951,0,0,0,11273
1969,866,0,0,0,12332
1970,935,0,0,0,12957
1971,913,0,0,0,13666
1972,993,0,0,0,15311
1973,906,0,0,0,18502
1974,891,1330,0,0,19341
1975,879,2291,0,0,21993
1976,645,2479,0,0,24436
1977,780,2888,0,0,27011
1978,930,1209,0,0,30763
1979,898,2889,0,0,33496
1980,946,2563,0,0,34582
1981,982,2204,0,0,38272
1982,918,2269,0,0,37289
1983,920,2309,0,0,37481
1984,918,2700,0,0,41264
1985,989,1927,0,0,42431
1986,953,2993,0,0,43226
1987,971,2523,0,0,45283
1988,699,3163,0,0,49088
1989,672,3139,0,0,52907
1990,875,3012,0,0,56121
1991,901,4147,0,0,57944
1992,1000,3405,0,0,61870
1993,747,3235,0,0,63386
1994,1071,4107,0,0,70161
1995,1003,3730,0,0,73137
1996,935,3924,0,0,78819
1997,805,4149,0,0,83113
1998,913,3768,0,0,85629
1999,946,3640,0,326,88697
2000,904,4453,0,494,94792
2001,845,3853,0,488,95934
2002,946,4574,0,919,100221
2003,789,3988,0,982,106651
2004,946,4929,0,1050,118023
2005,960,4538,0,1647,123353
2006,909,5095,0,2318,127961
2007,962,4519,0,2757,137598
2008,819,5282,0,4084,137741
2009,971,4679,0,7421,137069
2010,948,4451,0,9170,141697
2011,925,5215,0,10709,148843
2012,766,4347,0,14032,158246
2013,749,5321,0,15568,162814
2014,879,4152,0,16307,169661
,,,,,174030
